asterism,member,resolved_object,ra_h,dec_deg,mag,coordinate_source,coordinate_source_id,magnitude_source,magnitude_source_id,override
Scorpius's Fishhook,Gamma Scorpii,Brachium,15.0678390000,-25.2819650000,3.25,Pinned HYG v4.1; positional cross-match 0.078 arcsec from CDS Sesame/SIMBAD * sig Lib,HIP 73714,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 73714,Sigma Librae
Scorpius's Fishhook,Delta Scorpii,Dschubba,16.0055570000,-22.6217100000,2.29,Pinned HYG v4.1,HIP 78401,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 78401,
Scorpius's Fishhook,Epsilon Scorpii,Larawag,16.8360800000,-34.2932320000,2.29,Pinned HYG v4.1,HIP 82396,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 82396,
Scorpius's Fishhook,Zeta Scorpii,Zeta2 Scorpii,16.9097310000,-42.3613130000,3.62,Pinned HYG v4.1; positional cross-match 0.295 arcsec from CDS Sesame/SIMBAD * zet02 Sco,HIP 82729,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 82729,Zeta2 Scorpii
Scorpius's Fishhook,Eta Scorpii,Eta Scorpii,17.2025520000,-43.2391890000,3.32,Pinned HYG v4.1,HIP 84143,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 84143,
Scorpius's Fishhook,Theta Scorpii,Sargas,17.6219800000,-42.9978240000,1.86,Pinned HYG v4.1,HIP 86228,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 86228,
Scorpius's Fishhook,Iota Scorpii,Iota1 Scorpii,17.7930780000,-40.1269970000,2.99,Pinned HYG v4.1; positional cross-match 0.016 arcsec from CDS Sesame/SIMBAD * iot01 Sco,HIP 87073,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 87073,Iota1 Scorpii
Scorpius's Fishhook,Kappa Scorpii,Kappa Scorpii,17.7081320000,-39.0299830000,2.39,Pinned HYG v4.1,HIP 86670,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 86670,
Scorpius's Fishhook,Lambda Scorpii,Shaula,17.5601450000,-37.1038210000,1.62,Pinned HYG v4.1,HIP 85927,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 85927,
Scorpius's Fishhook,Mu Scorpii,Xamidimura,16.8645090000,-38.0473800000,3.0,Pinned HYG v4.1,HIP 82514,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 82514,HD 151890
