hip,ra_h,dec_deg
81377,16.6193138980,-10.5671518000
81693,16.6881880880,31.6018869500
81833,16.7149273787,38.9224610300
81852,16.7181721200,-77.5165718200
82080,16.7661559740,82.0372507100
82273,16.8110738280,-69.0276350300
82363,16.8297531760,-59.0413164800
82396,16.8361791587,-34.2926098200
82514,16.8645107967,-38.0473271700
82729,16.9097514373,-42.3607591600
83000,16.9611862787,9.3750562600
83081,16.9770085447,-55.9900550800
83153,16.9930685153,-53.1604900500
83207,17.0048350547,30.9263392600
83895,17.1464514073,65.7146367600
84012,17.1729617727,-15.7251475700
84143,17.2025488667,-43.2384903900
84345,17.2441284580,14.3902531400
84379,17.2505344900,24.8395873900
84380,17.2507928547,36.8091552700
84970,17.3668289140,-24.9994879700
85112,17.3947146887,37.1459239600
85258,17.4216658853,-55.5298239700
85267,17.4232388493,-56.3776882400
85423,17.4559066733,-29.8666994200
85670,17.5072158053,52.3013590100
85693,17.5123050033,26.1106045000
85696,17.5127330007,-37.2957401600
85727,17.5183269300,-60.6836066700
85792,17.5307004407,-49.8759815900
85822,17.5369158840,86.5863292400
85829,17.5377441660,55.1728067400
85927,17.5601462487,-37.1037483500
86032,17.5822235473,12.5605758400
86228,17.6219793813,-42.9978215500
86263,17.6264514540,-15.3984083500
86414,17.6577478980,46.0063221600
86670,17.7081332720,-39.0299209200
86742,17.7245491427,4.5669168400
86929,17.7622228980,-64.7237345000
86974,17.7743663687,27.7224991700
87073,17.7930780913,-40.1269819700
87108,17.7982150100,2.7074587500
87261,17.8309586800,-37.0433710500
87585,17.8921193073,56.8724521600
87808,17.9375495927,37.2505215800
87833,17.9434382927,51.4889510100
87933,17.9627307373,29.2479252700
88048,17.9837771080,-9.7733497300
88635,18.0968123907,-30.4236500700
88714,18.1105218880,-50.0914546200
88794,18.1257085493,28.7624702500
88866,18.1429974573,-63.6680484400
89112,18.1871600620,-45.9543270400
89341,18.2293913087,-21.0588303100
89642,18.2938136600,-36.7612810300
89908,18.3459558873,71.3377273400
89931,18.3498948913,-29.8280391400
89962,18.3552557187,-2.8971220000
90098,18.3871168260,-61.4939050600
90185,18.4028739780,-34.3843146000
90422,18.4495639647,-45.9683291900
90496,18.4661859700,-25.4212473200
90568,18.4804822127,-49.0700309700
90595,18.4866255340,-14.5658049900
90982,18.5583778093,-42.3124587100
91117,18.5867882947,-8.2433081900
91262,18.6156072213,38.7829931100
91726,18.7045617020,-9.0525535700
91792,18.7172593967,-71.4277286700
91926,18.7396599573,39.6125955700
91971,18.7462044087,37.6050502500
92041,18.7609313887,-26.9907794000
92175,18.7862437053,-4.7478287100
92420,18.8346649747,33.3626778800
92609,18.8702879280,-62.1875606200
92791,18.9084135293,36.8986051800
92855,18.9210879707,-26.2965942800
92946,18.9369889833,4.2035295600
93015,18.9491779613,-67.2335351100
93194,18.9823957120,32.6895531200
93244,18.9937192293,15.0684775700
93429,19.0280114907,-5.7390183200
93506,19.0435342853,-29.8801142900
93747,19.0901701200,13.8637098300
93805,19.1041527593,-4.8823345600
93825,19.1069554387,-37.0627571400
93864,19.1156784193,-27.6698141600
94005,19.1391480513,-40.4966376000
94114,19.1578550900,-37.9042395300
94160,19.1671534567,-39.3407067700
94376,19.2092097207,67.6613169500
94779,19.2850305293,53.3681606400
95291,19.3867278620,20.2777033000
95340,19.3963688213,20.2643548700
95432,19.4123151107,19.9394018600
95487,19.4228876573,20.2717683100
95498,19.4245954267,19.7985391200
95501,19.4249312940,3.1145792300
95560,19.4370122373,20.0978203600
95582,19.4413018547,19.8916100300
95584,19.4418330260,20.2590101700
95700,19.4650173693,20.2474033300
95771,19.4784475073,24.6651648200
95818,19.4891378507,20.2797776200
95853,19.4950942593,51.7294674700
95947,19.5120236860,27.9596948000
96468,19.6120212613,-1.2865504700
96683,19.6562789707,30.1532335000
96757,19.6682729293,18.0139383900
96837,19.6841482520,17.4761235600
97165,19.7495672520,45.1306919500
97278,19.7709917113,10.6132686900
97365,19.7897958947,18.5342591200
97433,19.8028371053,70.2678353300
97649,19.8463005733,8.8673849100
97804,19.8745455047,1.0056782700
97886,19.8910224513,24.0795256800
98036,19.9218794887,6.4079333400
98110,19.9384433793,35.0834907900
98337,19.9792743440,19.4920928700
98495,20.0098314840,-72.9101844300
99240,20.1449611420,-66.1793210100
99473,20.1884068847,-0.8214756900
99848,20.2578661800,47.7142053000
100064,20.3008940200,-12.5448587700
100345,20.3501795647,-14.7814011900
100453,20.3704722307,40.2566815000
100751,20.4274582313,-56.7348807100
101093,20.4930075887,62.9941372200
101421,20.5535457713,11.3033321700
101483,20.5658324620,13.0272014600
101769,20.6257971560,14.5952028900
101772,20.6261082433,-47.2916623900
101958,20.6606262633,15.9120527000
102098,20.6905315133,45.2803342300
102281,20.7243182540,15.0746822400
102395,20.7493210200,-66.2032382600
102422,20.7547968420,61.8367940400
102485,20.7682683647,-25.2705168200
102488,20.7701200607,33.9694533400
102532,20.7776438887,16.1247732600
102618,20.7945923827,-9.4956898800
102978,20.8636933893,-26.9191264200
103227,20.9134943393,-58.4540947000
103413,20.9528921227,41.1671938400
104139,21.0991053880,-17.2327109500
104732,21.2156059847,30.2270812800
104858,21.2413305887,10.0077185500
104987,21.2637213173,5.2480739000
105199,21.3096059880,62.5854552900
105319,21.3310788353,-53.4492643400
105858,21.4406922567,-65.3681443800
105881,21.4444521413,-22.4113783800
106032,21.4776597300,70.5606948100
106278,21.5259779673,-5.5711559300
106985,21.6681506233,-16.6622534300
107089,21.6912425340,-77.3894621500
107259,21.7251263740,58.7800530800
107315,21.7364278720,9.8750079100
107354,21.7440845033,25.6450028400
107380,21.7491077267,-33.0255530600
107556,21.7839681327,-16.1265659500
107608,21.7956036973,-30.8983058200
108085,21.8987928013,-37.3648229000
108431,21.9652863847,-54.9925666000
109074,22.0963959127,-0.3198265600
109111,22.1019176787,-39.5430490300
109139,22.1072792627,-13.8695401300
109176,22.1167984860,25.3450461000
109268,22.1371878920,-46.9606159300
109410,22.1664590687,33.1782674700
109422,22.1690232020,-32.5484404200
109427,22.1699499347,6.1977890000
109492,22.1809060873,58.2012499200
109754,22.2313059627,39.7148892800
109857,22.2504663880,57.0434652200
109908,22.2602457793,-41.3467502900
109937,22.2661583800,37.7487348300
110003,22.2805462193,-7.7832370600
110130,22.3083828380,-60.2594948600
110351,22.3504245280,46.5365648400
110395,22.3609166553,-1.3873531500
110538,22.3926767813,52.2294995100
110609,22.4086099200,49.4764007400
110672,22.4212812380,1.3773924500
110838,22.4555203020,-64.9663792700
110960,22.4805001540,-0.0200630400
110991,22.4861799833,58.4151899000
110997,22.4878205773,-43.4955543300
111022,22.4921729820,47.7068948800
111104,22.5081282220,43.1233898500
111169,22.5214932653,50.2824497600
111188,22.5250804340,-32.3460279800
111497,22.5892580360,-0.1173612300
111944,22.6752173207,44.2762806800
111954,22.6775904353,-27.0436148000
112029,22.6910207873,10.8313911100
